company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
Demetria Bridges Voice Consulting,"Provide vocal performance narration for corporate and market imaging through the medium of commercial ads, documentaries, phone systems; teach verbal communication through coaching",MWBE,,,Yes,Yes,"73 Barry Street, Boston, MA 2125",Boston,MA,2125,Demetria Bridges,,(617) 905-1524,,demetria@demetriabridges.com,,Sole Proprietorship,No,01/01/2016,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,TA - Training (see also ED),,541890 - Other Services Related to Advertising ,"621340 - Offices of Physical, Occupational and Speech Therapists, and Audiologists ",,,,
"Dependable Masonry Construction Company, Inc.",Masonry; brick paving; curbsetting; manholes and sidewalks   ,MBE,SBE,,Yes,No,"1245 Hancock Street, Quincy, MA 2169",Quincy,MA,2169,Edmund Henry,,(978) 664-5453,(978) 664-1360,dmcci@hotmail.com,,Corporation,Yes,01/01/1978,21 - 40,CM - Concrete & Masonry Contractors,"PL - Plastering, Drywall Contractors",CA - Carpentry,238140 - Masonry Contractors ,,,,,
Depict Brands,"Graphic design, branding and marketing",MWBE,,,Yes,Yes,"63 Melcher Street, #101, Boston, MA 2210",Boston,MA,2210,Eileen Riestra,,(617) 710-4258,,eileen@depictbrands.com,,Sole Proprietorship,No,01/01/2014,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MK - Marketing,,541430 - Graphic Design Services,541613 - Marketing Consulting Services ,,,,
"DePrizio Paving and Construction Company, Inc.",All types of interior and exterior demolition work   ,,SBE,SDVOB,No,No,"793 Turnike Street, North Andover, MA 1845",North Andover,MA,1845,Louis DePrizio,,(617) 884-1802,(617) 884-2506,ldeprizio@verizon.net,,Corporation,Yes,01/01/1977,Less than 10,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",,,238910 - Site Preparation Contractors,,,,,
Derrick Carpentry,Carpentry rehabilitation; general contractor,MBE,,,Yes,Yes,"34 Holiday Street, Dorchester, MA 2122",Dorchester,MA,2122,Derrick Thompson,,(857) 266-6963,,t.derrick1969@gmail.com,,Sole Proprietorship,Yes,01/01/2018,Less than 10,CA - Carpentry,GC - General Contractors,,238350 - Finish Carpentry Contractors,,,,,
"Desmond Tech, LLC","Provides a variety of technical services, including but not limited to security camera installation; ergonomic furniture installation, medical product servicing, etc.",MBE,,,Yes,Yes,"81 Ruthven Street, Boston, MA 2121",Boston,MA,2121,Moriah Simpson,,(617) 459-9863,,moriah@desmondtech.net,,Limited Liability Company,No,01/01/2018,Less than 10,COS - Consultants: Systems Analysis,"SE - Security (Guards, Dogs, Systems)","OF - Office Furniture, Services and Equipment","541990 - All Other Professional, Scientific, and Technical Services",,,,,
Devon Plumbing & Heating Corp.,All types of plumbing and heating   ,MBE,SLBE,,Yes,Yes,"52 Evelyn Street, Mattapan, MA 2126",Mattapan,MA,2126,Devon Graham,,(617) 298-2728,(617) 296-5134,devonplumbing@yahoo.com,,Corporation,Yes,01/01/1987,Less than 10,PB - Plumbing,,,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",,,,,
"Diversified Technology Consultants, Inc.","Structural engineering, civil engineering, mechanical engineering, electrical engineering, landscape architecture, transportation and bridge design, plumbing and fire protection design   ",MBE,,,Yes,No,"2321 Whitney Avenue, Suite 301, Hamden, CT 6518",Hamden,CT,6518,Robert Hammersley,,(203) 605-2604,(203) 234-7376,robert.hammersley@teamdtc.com,,Corporation,No,01/01/1979,41 - 100,"COA - Consultants: Architecture, Engineering",CON - Consultants: Environmental,COU - Consultants: Transportation,541330 - Engineering Services,541620 - Environmental Consulting Services,"541990 - All Other Professional, Scientific, and Technical Services",,,
"Divino Nino Childcare and Home Provider Program, Inc.",Consulting services specializing in home daycare providers,MWBE,,,Yes,No,"20 Central Avenue, Suite 501, Lynn, MA 1902",Lynn,MA,1902,Milka Ramos,,(781) 632-7603,,divinoninochildcare@gmail.com,,Corporation,No,01/01/2019,Less than 10,CC - Childcare,,,624410 - Child Day Care Services ,,,,,
"Done Right Building Services, Inc.",Janitorial and maintenance services; mechanical maintenance; landscaping and snow removal; and consulting   ,MBE,SLBE,,Yes,Yes,"Four Copley Place, Boston, MA 2116",Boston,MA,2116,Anthony Samuels,,(617) 236-0155,(617) 236-0704,kmartin@donerightservices.com,,Corporation,No,01/01/1993,21 - 40,"JA - Janitorial Services/Supplies (see also MA, RS)",PA - Painting and Papering Contractors,LA - Landscaping Contractors,561720 - Janitorial Services ,,,,,
Dorchester Bay Economic Development Corporation,Developers and owners of rental housing units; small business loans   ,MBE,,,No,Yes,"594 Columbia Road, Dorchester, MA 2125",Dorchester,MA,2125,Perry Newman,,(617) 533-9586,(617) 825-3522,pnewman@dbedc.org,,Corporation,No,01/01/1979,21 - 40,EC - Economic Development,,,531110 - Lessors of Residential Buildings and Dwellings ,522291 - Consumer Lending ,925120 - Administration of Urban Planning and Community and Rural Development ,93140000 - Community and social services,,
"Dotcom Team, LLC, The",Information technology consulting and staffing services,MBE,,,Yes,No,"325 Wood Road, Suite 103, Braintree, MA 2184",Braintree,MA,2184,Bharat Agrawal,,(781) 848-3867,,john.maher@dotcom-team.com,,Limited Liability Company,No,01/01/1999,Greater than 100,COS - Consultants: Systems Analysis,"EM - Employement (see also OS, TR)",,541690 - Other Scientific and Technical Consulting Services,561311 - Employment Placement Agencies ,,81160000 - Information Technology Service Delivery,,
"Dragonfly Financial Solutions, LLC","Financial literacy consulting, education and coaching to non-profit and government organizations",WBE,,,Yes,No,"67 Orchardhill Road, Jamaica Plain, MA 2130",Jamaica Plain,MA,2130,Kimberly Zimmerman Rand,,(617) 383-9570,,kimberly@dragonflyfinancialsolutions.com,,Limited Liability Company,No,01/01/2017,Less than 10,COI - Consultants: Insurance & Financial,,,523999 - Miscellaneous Financial Investment Activities ,541219 - Other Accounting Services ,,,,
"DREAM Collaborative, LLC","Architecture, urban design, and sustainability/LEED",MBE,,,Yes,No,"31 St. James Avenue, 6th Floor, Boston, MA 2116",Boston,MA,2116,Gregory Minott,,(617) 606-7029,,gmateo@dreamcollaborative.com,,Limited Liability Company,No,01/01/2008,21 - 40,AE - Architects/Engineers,,,541310 - Architectural Services,,,,,
E.. T. & L. Corp.,"Heavy, dam, highway, bridge construction; landfill expansions and closures, site work, utilities and concrete work   ",WBE,SBE,,Yes,No,"873 Great Road, Stow, MA 01775",Stow,MA,01775,Jennie Lee Colosi,,(978) 897-4353,(978) 897-0779,jlcolosi@etlcorp.com,www.etlcorp.com,Corporation,Yes,01/01/1998,41 - 100,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)","RO - Road, Railroad, Highway, Bridge Contractors (see also PV)",GC - General Contractors,,,,,,
"Eastern Bag and Paper Company, Inc. dba EBP Supply Solutions",Wholesale distribution of paper goods and janitorial goods   ,WBE,,,Yes,Yes,"200 Research Drive, Milford, CT 6460",Milford,CT,6460,Meredith Reuben,,(203) 878-1814,(203) 783-9824,mreuben@ebpsupply.com,,Corporation,No,01/01/1918,Greater than 100,SU - Suppliers,"JA - Janitorial Services/Supplies (see also MA, RS)","AHS - Health Care (Providers, Services)",424130 - Industrial and Personal Service Paper Merchant Wholesalers ,424990 - Other Miscellaneous Nondurable Goods Merchant Wholesalers ,,14110000 - Paper products,,
"Eco Waste Disposal and Container Storage, Inc.",Waste disposal; recycling; container storage; portable toilet service   ,MBE,SLBE,,Yes,No,"946 Washington Street, Dorchester, MA 2124",Dorchester,MA,2124,Jesse Jeter,,(617) 929-5900,(617) 507-7680,jjeter@ecowdcs.com,,Corporation,Yes,01/01/2010,Less than 10,TK - Trucking (Waste Disposal Commodities Transport),,,562119 - Other Waste Collection ,562111 - Solid Waste Collection ,562991 - Septic Tank and Related Services ,,,
EcoDocx LLC,Business support services:  OpenText and StreamServe consulting   ,MWBE,SLBE,,No,No,"50 Milk Street, Boston, MA 2109",Boston,MA,2109,Tien-Tien Lai,,(617) 383-9185,,tlai@ecodocx.com,,Limited Liability Company,No,01/01/2009,Less than 10,COS - Consultants: Systems Analysis,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",,561499 - All Other Business Support Services ,,,,,
Economic Mobility Pathways,Social and human services; housing and food services   ,WBE,,,No,Yes,"308 Congress Street, 5th Floor, Boston, MA 2210",Boston,MA,2210,Elizabeth Babcock,,(617) 259-2900,(617) 254-7966,namaya@empathways.org,,Corporation,No,,Less than 10,HO - Housing Advocacy,MO - Multi Service Organizations,,,,,,,
Eduporium,"STEM education technology, including robots, electronics and circuit kits, 3D printers, virtual reality, computers, and much more",MBE,,,Yes,Yes,"1 Bridge Street, Suite 300, Newton, MA 2458",Newton,MA,2458,Richard Fredkin,,(617) 600-7230,(617) 977-0980,sales@eduporium.com,,Corporation,No,01/01/2012,20-Nov,"ED - Education (see also OS, TA)","CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",,611420 - Computer Training ,611519 - Other Technical and Trade Schools ,611710 - Educational Support Services,,,
"Edwards Group LLC, The",Trucking; hauling (materials and debris); snow removal; real estate sales   ,MBE,SLBE,,No,No,"57 River Street, Boston, MA 2126",Boston,MA,2126,Mark Edwards,,(617) 593-9875,(617) 296-6770,theedwardsgroup.cynthia@comcast.net,,Limited Liability Company,No,01/01/2006,Less than 10,TK - Trucking (Waste Disposal Commodities Transport),SN - Snow Removal/Plowing (see also TK),"RE - Real Estate (Development, Management, Sales and Appraisals)","484110 - General Freight Trucking, Local ",561730 - Landscaping Services,531210 - Offices of Real Estate Agents and Brokers,,,
"Electronic Security and Control Systems, Inc.","Integrated security systems provider, access control, VMS, ID, IC, parking, alarm processing",WBE,,,No,Yes,"108 Evergreen Street, Bridgeport, CT 6606",Bridgeport,CT,6606,Anita Jacobellis,,(203) 336-9506,(203) 336-9975,mail@escsinc.com,,Corporation,No,01/01/1977,20-Nov,"SE - Security (Guards, Dogs, Systems)",,,561621 - Security Systems Services (except Locksmiths) ,,,,,
"Elite Pest Solutions, Inc.","General pest control, exterminating   ",WBE,SBE,,Yes,Yes,"68 Catherine Drive, Peabody, MA 1960",Peabody,MA,1960,Vanessa Giovanniello,Vanessa Giovanniello,(617) 595-7634,,vanessa@elitepestma.com,www.ElitepestMA.com,Corporation,No,01/01/2018,20-Nov,PE - Pest Control,,,561710 - Exterminating and Pest Control Services,561710 - Exterminating and Pest Control Services,,10190000 - Pest control products,,
"EMC Research, Incorporated",Market research and political polling,WBE,,,No,No,"436 14th Street, Suite 820, Oakland, CA 94612",Oakland,CA,94612,Ruth Bernstein,,(510) 550-8928,(510) 844-0690,dione@emcresearch.com,,Corporation,No,01/01/1989,41 - 100,COP - Consultants: Public Relations,,,541910 - Marketing Research and Public Opinion Polling,,,,,
"EMZ Rainbow Laundromat, LLC",Laundry services; laundromat   ,MBE,SLBE,,No,Yes,"9 Bowdoin Street, Dorchester, MA 2124",Dorchester,MA,2124,Caltor McLean,,(617) 825-3200,,rainbowlaundromat09@gmail.com,,Limited Liability Company,No,01/01/1996,Less than 10,"CL - Commercial Dry Cleaning, Laundry",,,812310 - Coin-Operated Laundries and Drycleaners ,812332 - Industrial Launderers ,,,,
"Energy Engineering and Design, Inc.",Consulting engineering services related to efficient operation of mechanical systems in buildings   ,,SBE,SVOB,No,Yes,"835 East Street, Dedham, MA 2026",Dedham,MA,2026,David Ward,,(781) 775-2698,,david@energyengineeringinc.com,,Corporation,No,01/01/2001,Less than 10,"COA - Consultants: Architecture, Engineering",AE - Architects/Engineers,,541330 - Engineering Services,541350 - Building Inspection Services,541620 - Environmental Consulting Services,,,
"Entech Engineering, P.C.",Engineering services,WBE,,,Yes,No,"17 State Street, 36th Floor, New York, MA 10004",New York,MA,10004,Soudabeh Bayat,,(646) 722-0000,,sadelson@entech.nyc,,Corporation,No,01/01/2000,Greater than 100,AE - Architects/Engineers,,,541330 - Engineering Services,,,,,
"eSociates, LLC",Information technology consulting; health information technology; public sector information technology   ,MWBE,SBE,,No,Yes,"59 Newbury Avenue, Quincy, MA 2171",Quincy,MA,2171,Esther Ndungu,,(781) 964-4166,,info@esociates.org,,Limited Liability Company,No,01/01/2014,Less than 10,COS - Consultants: Systems Analysis,COM - Consultants: Management,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",541511 - Custom Computer Programming Services ,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,,,
Ethioparking LLC,Parking service   ,MBE,SLBE,,No,No,"222 Stuart Street, Boston, MA 2116",Boston,MA,2116,Nega Tulu,,(857) 615-8423,,,,Limited Liability Company,No,01/01/2015,Less than 10,"PK - Parking Lot (Mgmt., Maintenance)",,,812930 - Parking Lots and Garages ,,,,,
"EZ Healthcare of Boston Group, Incl",Certified home care agency,MBE,,,Yes,Yes,"73 Cedar Street, Suite 1, Roxbury, MA 2119",Roxbury,MA,2119,Cuthbert Mayers,,(617) 433-2993,,cmayers@ezhealthcare.org,,Corporation,No,01/01/2007,21 - 40,"AHS - Health Care (Providers, Services)",,,621610 - Home Health Care Services,,,85100000 - Comprehensive health services,,
"Fairland Company, Inc., The",Management consulting services; computer programming services; computer systems design services   ,MBE,SBE,,Yes,No,"39 Fiorenza Drive, Wilmington, MA 1887",Wilmington,MA,1887,William Walker,,(978) 658-5800,(866) 208-7399,wew@fairland.biz,,Corporation,No,01/01/1994,Less than 10,COM - Consultants: Management,COS - Consultants: Systems Analysis,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",541511 - Custom Computer Programming Services ,541512 - Computer Systems Design Services ,541611 - Administrative Management and General Management Consulting Services ,,,
"Fennick McCredie Architecture, Ltd.",Architectural services,WBE,,,Yes,Yes,"70 Franklin Street, 2nd Floor, Boston, MA 2110",Boston,MA,2110,Deborah Fennick,,(617) 830-1267,,tbrinson@fmarchitecture.com,,Corporation,No,01/01/2017,41 - 100,AE - Architects/Engineers,,,541310 - Architectural Services,,,,,
Ferullo's Seafood,Seafood Wholesaler,MBE,,,Yes,Yes,"4 Boston Fish Pier, Boston, MA 2210",Boston,MA,2210,Rayford Kelley,,(617) 669-5951,,ferullos@gmail.com,,Limited Liability Company,No,01/01/2006,Less than 10,"FD - Food Products, Services",,,424460 - Fish and Seafood Merchant Wholesalers ,,,50120000 - Seafood,,
FHI Studio,Transportation planning; environmental documentation; traffic analysis; environmental permitting; cultural resource investigation; GIS services; public outreach and involvement; wetland delineation; bicycle and pedistrian analysis   ,WBE,SBE,,Yes,No,"416 Asylum Street, Hartford, CT 6103",Hartford,CT,6103,Kelley Kelly,,(860) 247-7200,(860) 308-1160,finance@fhistudio.com,,Corporation,No,01/01/1987,21 - 40,COU - Consultants: Transportation,CON - Consultants: Environmental,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",541330 - Engineering Services,"541614 - Process, Physical Distribution, and Logistics Consulting Services ",,,,
Fidalgo Travel Center,Travel services   ,MBE,SLBE,,No,Yes,"517 Dudley Street, Boston, MA 2119",Boston,MA,2119,Jose Fidalgo,,(617) 442-4824,(617) 442-4325,fidalgotravel@gmail.com,,Corporation,No,01/01/1993,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,,,,,,
"Fire Code Design, LLC","Life safety; sprinkler inspections; fire alarm inspections, fire extinguisher inspection; plumbing",MWBE,,,Yes,Yes,"195 Dudley Street, Boston, MA 2119",Boston,MA,2119,Ronnette Taylor,,(617) 442-2633,,firecode13@gmail.com,,Limited Liability Company,Yes,01/01/2006,Less than 10,PB - Plumbing,"ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",,,,,
"FIS Group, Inc.",Provide investment management and research services to institutional investors   ,MWBE,,,No,No,"1845 Walnut Street, Philadelphia, PA 19103",Philadelphia,PA,19103,Tina Byles Williams,,(215) 567-1100,(215) 567-1810,nstephenson@fisgroup.com,,Corporation,No,01/01/1996,21 - 40,BA - Banking/Financial Services,FI - Financial Services (see also BA and COI),,523920 - Portfolio Management ,525110 - Pension Funds ,,,,
Fish Design Architecture,Architectural design services,MBE,,,Yes,Yes,"1766 Centre Street, 2nd Floor, Boston, MA 2132",Boston,MA,2132,Myoungkeun Kim,,(857) 203-9697,,myoungk@fishdesignlab.com,,Limited Liability Company,No,01/01/2011,Less than 10,AE - Architects/Engineers,,,541310 - Architectural Services,,,,,
FlightView Inc.,Real time flight tracking solutions and consulting services   ,WBE,SLBE,,No,No,"214 Lincoln Street, Boston, MA 2134",Boston,MA,2134,Lorraine Flynn,,(617) 787-4200,(617) 787-2570,,,Corporation,No,01/01/1981,Less than 10,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COS - Consultants: Systems Analysis,COT - Consultants: Telecommunications,541511 - Custom Computer Programming Services ,,,,,
"Focus Consulting, LLC",Software engineering consulting services   ,MBE,,,No,No,"716 Roxboro Place, NW, Washington, DC 20011",Washington,DC,20011,Anteneh Addis,,(302) 290-6238,,anteneh@focusconsulting.io,,Limited Liability Company,No,01/01/2019,Less than 10,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COS - Consultants: Systems Analysis,,541511 - Custom Computer Programming Services ,541512 - Computer Systems Design Services ,,,,
Foster's Electric Service,"Industrial and commercial electrical contracting, installation and repair; fire and burgular alarms ",MBE,SLBE,,No,Yes,"702 Walk Hill Street, Mattapan, MA 2126",Mattapan,MA,2126,"Foster Earl, Sr.",,(617) 296-3820,(617) 296-5047,fostersr@comcast.net,,Corporation,Yes,01/01/1966,Less than 10,EL - Electrical Contractors,,,238210 - Electrical Contractors and Other Wiring Installation Contractors,,,,,
"Four Season, LLC","Maintenance, janitorial, primarily commercial; construction, primarily concrete, carpentry, foundation work",MBE,SLBE,,No,Yes,"99 Williams Street, Hyde Park, MA 2136",Hyde Park,MA,2136,Miguel Mourino,,(857) 500-9075,,mmourino@fourssd.com,,Limited Liability Company,No,01/01/2016,Less than 10,CN - Construction Management: Small Commercial Projects,"JA - Janitorial Services/Supplies (see also MA, RS)",PA - Painting and Papering Contractors,561720 - Janitorial Services ,561730 - Landscaping Services,,,,
Fraser Polyengineering Services,Civil engineering design consultant,MBE,,,Yes,Yes,"236 Huntington Avenue, Suite 404, Boston, MA 2115",Boston,MA,2115,Kurt Fraser,,(617) 291-2423,,kurt@fraseres.com,,Corporation,No,01/01/2009,Less than 10,"COA - Consultants: Architecture, Engineering",,,541330 - Engineering Services,,,,,
"Front Line, Inc.",Construction services:  cleaning; general labor; demolition; final cleaning; water/mold remediation   ,WBE,,,Yes,Yes,"58 Mellen Street, Hopedale, MA 1747",Hopedale,MA,1747,Nancy Salter,,(508) 634-6600,(508) 634-3611,kharney@frontlineinc.info,,Corporation,Yes,01/01/1998,41 - 100,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",,,238990 - All Other Specialty Trade Contractors,,,,,
Fundamental Optical Solutions,Engineering services for optical design,WBE,,,No,No,"543 Massachusetts Avenue, #3, Boston, MA 2118",Boston,MA,2118,Golshan Coleiny,,(978) 809-7759,,gcoleiny@fundamentalopticalsolutions.com,,Limited Liability Company,No,01/01/2020,Less than 10,AE - Architects/Engineers,COS - Consultants: Systems Analysis,COD - Consultants: Design,541330 - Engineering Services,541690 - Other Scientific and Technical Consulting Services,,,,
"G & O, Inc.","Electrical Contractors , Electrical Contracting Services   ",MBE,SLBE,,No,No,"115 King Street, Dorchester, MA 02122",Dorchester,MA,02122,John Oliveira,,(617) 282-4400,(617) 282-4444,john@gandoinc.com,,Corporation,Yes,01/01/1994,21 - 40,EL - Electrical Contractors,,,238210 - Electrical Contractors and Other Wiring Installation Contractors,,,26120000 - Electrical wire and cable and harness,,
"General A.C. and Heating, Co.",Installation and repair of air conditioning and heating systems; plumbing repairs and pipefitting   ,MBE,SLBE,,No,Yes,"7 Gaston Street, Dorchester, MA 2121",Dorchester,MA,2121,Pamela Woodley,,(617) 427-7370,(617) 427-7371,pam@general-air.net,,Corporation,Yes,01/01/1981,Less than 10,"ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",PB - Plumbing,,,,,,,
"General Foundries, Inc.",Construction castings:  manhole rings and covers; gratings; catch basins; valve and service boxes; etc.   ,MBE,SBE,,No,No,"1 Progress Road, Brunswick, BNJ 8902",Brunswick,BNJ,8902,Rita Todani,,(732) 951-9001,(732) 951-9002,rajs@generalfoundries.com,,Corporation,Yes,01/01/1983,21 - 40,SU - Suppliers,,,423510 - Metal Service Centers and Other Metal Merchant Wholesalers ,,,,,
"Geo s Electrical Service, Inc.",Electrical contractor Resident and Commercial  ,MBE,SLBE,,Yes,Yes,"52 Evelyn Street, Dorchester, MA 2126",Dorchester,MA,2126,George Graham,,(617) 296-1124,(617) 296-7527,geoselectric@gmail.com,,Corporation,Yes,01/01/1985,Less than 10,EL - Electrical Contractors,,,238210 - Electrical Contractors and Other Wiring Installation Contractors,,,,,
"GMT Architects, Inc.","Comprehensive architectural services--in residential, commercial, institutional, transportation and urban design ",MBE,,,Yes,Yes,"20 Becket Street, #2, Dorchester, MA 2124",Dorchester,MA,2124,G. Michael Tzerai,,(617) 291-4670,,gmtarch9@gmail.com,,Sole Proprietorship,No,01/01/1989,Less than 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COB - Consultants: City Planning,,,,,,
Giugliano Corp.,Street construction; paving surfacing; sewer and water repairs; catch basin rebuild and repairs   ,WBE,SBE,,No,Yes,"7 Beacham Street, Everett, MA 2149",Everett,MA,2149,Gilfroia Giugliano,,(617) 387-7841,(617) 387-7897,giuglianocorp@aol.com,,Corporation,Yes,01/01/1975,20-Nov,CM - Concrete & Masonry Contractors,CE - Construction Estimating,PV - Paving Contractors,"237310 - Highway, Street, and Bridge Construction ",,,,,
Glee All Phase,Carpentry; painting; flooring; property maintenance   ,MBE,SLBE,,No,No,"15 Newcroft Circle, Mattapan, MA 2126",Mattapan,MA,2126,Gary Lee,,(617) 756-8329,,gleeallphase@gmail.com,,Sole Proprietorship,Yes,,Less than 10,PA - Painting and Papering Contractors,"FL - Floor Contractors (Carpet, Tile, Linoleum)",,238320 - Painting and Wall Covering Contractors,238330 - Flooring Contractors,,,,
"Global Link Language Services, Inc.",Translation and localization services; multilingual copywriting; and interpreting,WBE,,,Yes,Yes,"71 Commercial Street, #218, Boston, MA 2109",Boston,MA,2109,Melissa Letteri,,(617) 451-6655,,info@languagetrarnslate.com,,Sole Proprietorship,No,01/01/1996,Less than 10,COV - Consultants: Translation,,,541930 - Translation and Interpretation Services,,,82110000 - Writing and translations,,
Global Star,"Personal services:  livery, delivery",MBE,SLBE,,No,No,"1137 Adams Street, Dorchester, MA 2124",Dorchester,MA,2124,Kevin Le,,(857) 308-9692,,nguyenkhang_vt@yahoo.com,,Sole Proprietorship,No,01/01/2017,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,485310 - Taxi Service ,492210 - Local Messengers and Local Delivery,,,,
Global Villages Translation and Interpreting Services,Translation and interpretation services,MBE,SLBE,,No,No,"281 Roslindale Avenue, Roslindale, MA 2131",Roslindale,MA,2131,James Colimon,,(617) 291-9054,,jrcolimon@me.com,,Sole Proprietorship,No,01/01/2019,Less than 10,COV - Consultants: Translation,,,541930 - Translation and Interpretation Services,,,,,
GM2 Associates,"Consulting Engineering Services for Design and Construction; Including Site/Civil, Structural, Traffic, Geotechnical, and Hydraulic/Hydrology Engineering, and Survey",MBE,,,Yes,No,"115 Glastonbury Boulevard, Glastonbury, CT 06033",Glastonbury,CT,06033,Madan Gupta,"Manish Gupta, President and CEO",(860) 659-1416,,sbartkus@gm2inc.com,,Corporation,No,1988,Greater than 100,AE - Architects/Engineers,,,541330 - Engineering Services,541690 - Other Scientific and Technical Consulting Services,,81100000 - Professional engineering services,,
"GNC Consulting, Inc.",IT Consulting Services   ,MBE,SBE,SVOB,No,No,"21195 S. Langrange Road, Frankfort, IL 60423",Frankfort,IL,60423,Garry Cooper,,(815) 469-7255,(815) 981-4029,garry.cooper@gnc-consulting.com,https://gnc-consulting.com,Corporation,No,01/01/1995,41 - 100,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COS - Consultants: Systems Analysis,,541511 - Custom Computer Programming Services ,"518210 - Data Processing, Hosting, and Related Services",541519 - Other Computer Related Services,81110000 - Computer services,81160000 - Information Technology Service Delivery,
Good Egg Marketing,"Market research, branding, marketing strategies, websites, social media",WBE,SLBE,,No,Yes,"32 Cheshire Street, Jamaica Plain, MA 2130",Jamaica Plain,MA,2130,Myrna Greenfield,,(617) 642-3562,,myrna@goodeggmarketing.com,,Sole Proprietorship,No,01/01/2010,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541613 - Marketing Consulting Services ,541611 - Administrative Management and General Management Consulting Services ,541910 - Marketing Research and Public Opinion Polling,,,
Great GetAways,"Travel, meeting and event management company",WBE,,,Yes,Yes,"313 Cambridge Street, Boston, MA 2114",Boston,MA,2114,Diane Mabardi,,(617) 966-0070,,diane@ggatravel.com,,Corporation,No,01/01/1987,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,561510 - Travel Agencies,,,90120000 - Travel facilitation,,
"Green Castle Business Solutions, LLC",Office supply distributor   ,MBE,SLBE,,No,Yes,"15 Hallowell Street, Boston, MA 2126",Boston,MA,2126,Keith Castle,,(617) 307-4461,(877) 557-5124,kcastle@greencastlebusiness.com,,Corporation,No,01/01/2009,Greater than 100,SU - Suppliers,,,424120 - Stationery and Office Supplies Merchant Wholesalers ,,,44120000 - Office supplies,,
"Green International Affiliates, Inc.",Transportation engineering; water resources engineering; structural engineering; civil/site engineering; land survey,MBE,,,Yes,Yes,"239 Littleton Road, Suite 3, Westford, MA 1886",Westford,MA,1886,Ko Ishikura,,(978) 923-0400,(978) 399-0033,info@greenintl.com,,Corporation,No,01/01/1954,Greater than 100,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",,541330 - Engineering Services,541620 - Environmental Consulting Services,,,,
H.B. Plumbing and Heating,Plumbing Contractor:  Installation of New Fixtures; Rehabs; Commercial and Residential,MBE,SLBE,,No,Yes,"37 Callender Street, Dorchester, MA 2124",Dorchester,MA,2124,"Hilliard Baker, Jr.","Hilliard Baker, Jr.",(781) 817-9045,,hbph@contractor.net,,Sole Proprietorship,Yes,01/01/2017,Greater than 100,PB - Plumbing,,,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",,,30180000 - Plumbing fixtures,,
"H2O Applied Technologies, LLC","Design/installation of water and energy conservation retrofits of existing buildings; site audits, utility analysis, water/energy savings calculations; conservation measure design, procurement, and installation; measurement and verification   ",WBE,SLBE,,Yes,Yes,"8 Newbury Street, Boston, MA 02116-3260",Boston,MA,02116-3260,Cynthia Stillinger,,(617) 428-8600,(617) 249-0707,cstillinger@h2oappliedtech.com,,Limited Liability Company,No,01/01/2004,21 - 40,"COA - Consultants: Architecture, Engineering","ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",PB - Plumbing,541330 - Engineering Services,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",541690 - Other Scientific and Technical Consulting Services,72100000 - Building and facility maintenance and repair services,81100000 - Professional engineering services,
